Created as New Dataset,IF 499nm 1 %
nm,%T
900.0,0.00
899.0,-0.00
898.0,-0.00
897.0,0.00
896.0,-0.00
895.0,0.00
894.0,0.00
893.0,0.00
892.0,0.00
891.0,0.00
890.0,-0.00
889.0,0.00
888.0,-0.00
887.0,-0.00
886.0,-0.00
885.0,-0.00
884.0,-0.00
883.0,-0.00
882.0,0.00
881.0,-0.00
880.0,-0.00
879.0,-0.00
878.0,0.00
877.0,-0.00
876.0,-0.00
875.0,-0.00
874.0,0.00
873.0,-0.00
872.0,-0.00
871.0,-0.00
870.0,0.00
869.0,-0.00
868.0,-0.00
867.0,-0.00
866.0,-0.00
865.0,-0.00
864.0,0.00
863.0,-0.00
862.0,0.00
861.0,-0.00
860.0,-0.01
859.0,-0.00
858.0,-0.00
857.0,-0.00
856.0,-0.00
855.0,-0.00
854.0,-0.00
853.0,-0.00
852.0,-0.00
851.0,-0.00
850.0,-0.00
849.0,-0.00
848.0,-0.00
847.0,-0.00
846.0,-0.00
845.0,-0.00
844.0,-0.00
843.0,-0.00
842.0,-0.00
841.0,-0.00
840.0,-0.00
839.0,-0.00
838.0,-0.00
837.0,-0.00
836.0,-0.00
835.0,-0.00
834.0,-0.00
833.0,-0.00
832.0,-0.00
831.0,-0.00
830.0,-0.00
829.0,-0.00
828.0,-0.00
827.0,-0.00
826.0,-0.00
825.0,-0.00
824.0,-0.00
823.0,-0.00
822.0,-0.00
821.0,-0.00
820.0,-0.00
819.0,-0.00
818.0,-0.00
817.0,-0.00
816.0,-0.00
815.0,-0.00
814.0,-0.00
813.0,-0.00
812.0,-0.00
811.0,-0.00
810.0,-0.00
809.0,-0.00
808.0,-0.00
807.0,-0.00
806.0,-0.00
805.0,-0.00
804.0,-0.00
803.0,-0.00
802.0,-0.00
801.0,-0.00
800.0,-0.00
799.0,-0.00
798.0,-0.00
797.0,-0.00
796.0,-0.00
795.0,-0.00
794.0,-0.00
793.0,-0.00
792.0,-0.00
791.0,-0.00
790.0,-0.00
789.0,-0.00
788.0,-0.00
787.0,-0.00
786.0,-0.00
785.0,-0.00
784.0,-0.00
783.0,-0.00
782.0,-0.00
781.0,-0.00
780.0,-0.00
779.0,-0.00
778.0,-0.00
777.0,-0.00
776.0,-0.00
775.0,-0.00
774.0,-0.00
773.0,-0.00
772.0,-0.00
771.0,-0.00
770.0,-0.00
769.0,-0.00
768.0,-0.00
767.0,-0.00
766.0,-0.00
765.0,-0.00
764.0,-0.00
763.0,-0.00
762.0,-0.00
761.0,-0.00
760.0,-0.00
759.0,-0.00
758.0,-0.00
757.0,-0.00
756.0,-0.00
755.0,-0.00
754.0,-0.00
753.0,-0.00
752.0,-0.00
751.0,-0.00
750.0,-0.00
749.0,-0.00
748.0,-0.00
747.0,-0.00
746.0,-0.00
745.0,-0.00
744.0,-0.00
743.0,-0.00
742.0,-0.00
741.0,-0.00
740.0,-0.00
739.0,-0.00
738.0,-0.00
737.0,-0.00
736.0,-0.00
735.0,-0.00
734.0,-0.00
733.0,-0.00
732.0,-0.00
731.0,-0.00
730.0,-0.00
729.0,-0.00
728.0,-0.00
727.0,-0.00
726.0,-0.00
725.0,-0.00
724.0,-0.00
723.0,-0.00
722.0,-0.00
721.0,-0.00
720.0,-0.00
719.0,-0.00
718.0,-0.00
717.0,-0.00
